Start Date,End Date,Customer Search Term,Search Term Impression Rank,Search Term Impression Share,Targeting,Match Type,Portfolio name,Campaign Name,Ad Group Name,Currency,Clicks,Impressions,Click-Thru Rate (CTR),Spend,Cost Per Click (CPC),7 Day Total Orders (#),7 Day Total Sales (₹),Total Advertising Cost of Sales (ACOS),Total Return on Advertising Spend (ROAS),7 Day Conversion Rate
"Feb 1, 2025","Mar 15, 2025",compression packing cubes for travel,5,4.39%,compression packing cube travel,PHRASE,liquidations-Jan-25,27-01-CompressionCubes_Combo_BE14TACOS10,CompressionCubes_Combo_TACOS10,INR,9,1382,0.6500%,Rs.109.8,Rs.12.2,1,Rs.677.12,16.2200%,6.17,11.1100%
"Feb 1, 2025","Mar 15, 2025",compression packing cubes for travel,5,4.39%,compression packing cube travel,EXACT,liquidations-Jan-25,20-01 compression kit,20.01- Compression Cubes with combo (some top kwds),INR,44,2972,1.4800%,Rs.626.8,Rs.14.2455,2,Rs.1379.66,45.4300%,2.20,4.5500%
"Feb 1, 2025","Mar 15, 2025",compression packing cubes for travel,5,4.39%,compression cube,BROAD,liquidations-Jan-25,27-01-CompressionCubes_Combo_BE14TACOS10,CompressionCubes_Combo_TACOS10,INR,7,1819,0.3800%,Rs.76.81,Rs.10.9729,0,Rs.0.0,,0.00,0.0000%
"Feb 1, 2025","Mar 15, 2025",compression packing cubes for travel,5,4.39%,compression cube travel,BROAD,liquidations-Jan-25,27-01-CompressionCubes_Combo_BE14TACOS10,CompressionCubes_Combo_TACOS10,INR,1,129,0.7800%,Rs.7.94,Rs.7.94,0,Rs.0.0,,0.00,0.0000%
"Feb 1, 2025","Mar 15, 2025",harry potter,11,3.00%,*,-,No Portfolio,SPA | B0CLLTYSMY | ALL | VISIBILITY | DSTM 0506f3,Fusked - Action Dress Ups & Accessories,INR,12,518,2.3200%,Rs.27.6,Rs.2.3,0,Rs.0.0,,0.00,0.0000%
"Feb 1, 2025","Mar 15, 2025",harry potter,11,3.00%,harry potter,PHRASE,No Portfolio,manual wands (light+normal),wands,INR,151,12076,1.2500%,Rs.198.75,Rs.1.3162,1,Rs.914.41,21.7400%,4.60,0.6600%
"Feb 1, 2025","Mar 15, 2025",harry potter,11,3.00%,harry potter,EXACT,No Portfolio,manual wands (light+normal),wands,INR,154,7712,2.0000%,Rs.203.17,Rs.1.3193000000000001,0,Rs.0.0,,0.00,0.0000%
"Feb 1, 2025","Mar 15, 2025",harry potter,11,3.00%,*,-,No Portfolio,New category wise campaign,other music box,INR,2,43,4.6500%,Rs.2.1,Rs.1.05,0,Rs.0.0,,0.00,0.0000%
"Feb 1, 2025","Mar 15, 2025",harry potter,11,3.00%,*,-,No Portfolio,SPA | SUPER HERO ASIN | ALL | VISIBILITY | DSTM e86995,Fusked - Children's Costumes,INR,15,465,3.2300%,Rs.34.3,Rs.2.2866999999999997,1,Rs.677.12,5.0700%,19.74,6.6700%
"Feb 1, 2025","Mar 15, 2025",harry potter,11,3.00%,"asin-expanded=""B0CHW6C7YK""",-,No Portfolio,Manual product targeting,wand PT,INR,5,102,4.9000%,Rs.25.44,Rs.5.088,0,Rs.0.0,,0.00,0.0000%
"Feb 1, 2025","Mar 15, 2025",harry potter accessories,1,68.42%,"asin-expanded=""B0C5TKPBL3""",-,No Portfolio,Manual product targeting,wand PT,INR,4,42,9.5200%,Rs.10.19,Rs.2.5475,0,Rs.0.0,,0.00,0.0000%
"Feb 1, 2025","Mar 15, 2025",harry potter accessories,1,68.42%,harry potter accessories,EXACT,No Portfolio,manual wands (light+normal),Light wands,INR,219,17194,1.2700%,Rs.429.83,Rs.1.9627000000000001,3,Rs.3070.34,14.0000%,7.14,1.3700%
"Feb 1, 2025","Mar 15, 2025",harry potter accessories,1,68.42%,*,-,No Portfolio,SPA | B0CLLTYSMY | ALL | VISIBILITY | DSTM 0506f3,Fusked - Action Dress Ups & Accessories,INR,4,53,7.5500%,Rs.12.03,Rs.3.0075,0,Rs.0.0,,0.00,0.0000%
"Feb 1, 2025","Mar 15, 2025",harry potter accessories,1,68.42%,*,-,No Portfolio,SPA | B0CLLT71RW | ALL | VISIBILITY | DSTM 653b7a,Fusked - Action Dress Ups & Accessories,INR,2,45,4.4400%,Rs.5.14,Rs.2.57,0,Rs.0.0,,0.00,0.0000%
"Feb 1, 2025","Mar 15, 2025",magic wand for kids girls,1,75.61%,*,-,No Portfolio,SPA | SUPER HERO ASIN | ALL | VISIBILITY | DSTM e86995,Fusked - Children's Costumes,INR,1,18,5.5600%,Rs.1.3,Rs.1.3,0,Rs.0.0,,0.00,0.0000%
"Feb 1, 2025","Mar 15, 2025",magic wand for kids girls,1,75.61%,*,-,No Portfolio,SPA | B0CLLTYSMY | ALL | VISIBILITY | DSTM 0506f3,Fusked - Action Dress Ups & Accessories,INR,4,221,1.8100%,Rs.6.22,Rs.1.555,0,Rs.0.0,,0.00,0.0000%
"Feb 1, 2025","Mar 15, 2025",magic wand for kids girls,1,75.61%,magic wand for kids,PHRASE,No Portfolio,manual wands (light+normal),wands,INR,70,16953,0.4100%,Rs.684.41,Rs.9.7773,1,Rs.639.83,106.9700%,0.93,1.4300%
"Feb 1, 2025","Mar 15, 2025",sunglasses for women stylish,55,0.14%,*,-,liquidations-Jan-25,31-01-CatEyeSunglass-BE18.8,Cat Eye Glasses,INR,75,16988,0.4400%,Rs.3010.02,Rs.40.1336,3,Rs.1012.72,297.2200%,0.34,4.0000%
"Feb 1, 2025","Mar 15, 2025",socks for women,13,1.47%,sock women,EXACT,liquidations-Jan-25,31-01-xocks-KT-BE50-Tacos30,xexy-xocks,INR,22,15318,0.1400%,Rs.221.77,Rs.10.080499999999999,0,Rs.0.0,,0.00,0.0000%
"Feb 1, 2025","Mar 15, 2025",teddy bear gift,93,0.13%,"keyword-group=""category""",-,Breathing_category,breathing_otter_BE30_tACOS30,breathing_otter,INR,29,8466,0.3400%,Rs.255.99,Rs.8.8272,0,Rs.0.0,,0.00,0.0000%
"Feb 1, 2025","Mar 15, 2025",teddy bear gift,93,0.13%,*,-,liquidations-Jan-25,31-01-Minecraft-Llama-AUTO-BE33,minecraft,INR,3,785,0.3800%,Rs.36.32,Rs.12.1067,0,Rs.0.0,,0.00,0.0000%
"Feb 1, 2025","Mar 15, 2025",teddy bear gift,93,0.13%,*,-,No Portfolio,SPA | TOYS | GIF | ALL | VIISBILITY | DSTM fb8b39,Fusked - Special Feature Plush,INR,3,33,9.0900%,Rs.3.0,Rs.1.0,0,Rs.0.0,,0.00,0.0000%
"Feb 1, 2025","Mar 15, 2025",teddy bear gift,93,0.13%,"keyword-group=""category""",-,Breathing_category,breathing-fox-BE37TACOS15,breathing-fox,INR,30,5861,0.5100%,Rs.639.57,Rs.21.319000000000003,0,Rs.0.0,,0.00,0.0000%
"Feb 1, 2025","Mar 15, 2025",b0by2t1yvm,1,91.06%,*,-,No Portfolio,SPA | SUPER HERO ASIN | ALL | VISIBILITY | DSTM e86995,Fusked - Children's Costumes,INR,1,6,16.6700%,Rs.1.0,Rs.1.0,0,Rs.0.0,,0.00,0.0000%
"Feb 1, 2025","Mar 15, 2025",b0by2t1yvm,1,91.06%,"asin=""B0BY2T1YVM""",-,No Portfolio,Manual product targeting,wand PT,INR,880,14078,6.2500%,Rs.2481.19,Rs.2.8194999999999997,8,Rs.7455.08,33.2800%,3.00,0.9100%
